 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Day                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  19990625        0.235792E-04        0.100000E-04        0.284708E-03        0.136417E-03        0.129000E-04        0.129000E-04        0.216042E+01        0.678083E-02        0.870958E-02        0.103454E-03        0.121650E-09        0.344446E-02        0.327529E-02        0.497708E+00        0.600792E+00       -0.840004E-01        0.500917E-05        0.636000E+00        0.100000E+01        0.156000E-02        0.723400E+01        0.536000E-03        0.154000E-02        0.690208E-02        0.720000E-07        0.595500E-04        0.210292E-06        0.000000E+00        0.267667E-06        0.220458E-06        0.709167E-07        0.365042E-01        0.119679E-03        0.000000E+00        0.167000E-03        0.101000E-03        0.296050E-16        0.121000E+01        0.121000E+01        0.165563E-03        0.126571E-03        0.172000E+02        0.267000E+00       -0.716000E-02        0.546000E+01
  19990626        0.239792E-04        0.102000E-04        0.286000E-03        0.137792E-03        0.131000E-04        0.131000E-04        0.216000E+01        0.730333E-02        0.934167E-02        0.107279E-03        0.154967E-09        0.372475E-02        0.356121E-02        0.507750E+00        0.600000E+00       -0.800342E-01        0.432500E-05        0.636000E+00        0.100000E+01        0.141000E-02        0.929183E+01        0.559000E-03        0.158000E-02        0.717083E-02        0.745500E-07        0.652333E-04        0.208000E-06        0.000000E+00        0.269917E-06        0.216792E-06        0.734542E-07        0.387458E-01        0.111763E-03        0.000000E+00        0.164792E-03        0.973250E-04        0.220854E-16        0.121208E+01        0.121208E+01        0.182387E-03        0.136392E-03        0.178000E+02        0.261000E+00       -0.771000E-02        0.546000E+01
  19990627        0.239042E-04        0.100000E-04        0.284000E-03        0.137833E-03        0.129000E-04        0.130000E-04        0.212833E+01        0.681458E-02        0.875292E-02        0.103971E-03        0.130858E-09        0.348046E-02        0.331058E-02        0.500250E+00        0.599625E+00       -0.827304E-01        0.376625E-05        0.636000E+00        0.100000E+01        0.151000E-02        0.705950E+01        0.536000E-03        0.153000E-02        0.691292E-02        0.716167E-07        0.603500E-04        0.206000E-06        0.000000E+00        0.263833E-06        0.215500E-06        0.705875E-07        0.370583E-01        0.117479E-03        0.000000E+00        0.165000E-03        0.984250E-04       -0.229583E-17        0.121708E+01        0.121750E+01        0.165221E-03        0.126971E-03        0.172000E+02        0.265000E+00       -0.734000E-02        0.546000E+01
  19990628        0.238458E-04        0.985000E-05        0.282000E-03        0.137625E-03        0.128000E-04        0.128000E-04        0.204083E+01        0.654875E-02        0.845000E-02        0.103692E-03        0.137967E-09        0.340892E-02        0.334317E-02        0.506667E+00        0.599500E+00       -0.618629E-01        0.338667E-05        0.636000E+00        0.100000E+01        0.146000E-02        0.711113E+01        0.514000E-03        0.149000E-02        0.667000E-02        0.688333E-07        0.590917E-04        0.195000E-06        0.000000E+00        0.251125E-06        0.203542E-06        0.678375E-07        0.368000E-01        0.113517E-03        0.000000E+00        0.161000E-03        0.943500E-04       -0.246375E-16        0.122000E+01        0.122000E+01        0.166850E-03        0.123929E-03        0.167000E+02        0.263000E+00       -0.752000E-02        0.546000E+01
  19990629        0.237500E-04        0.966792E-05        0.280167E-03        0.137500E-03        0.126000E-04        0.126000E-04        0.201958E+01        0.611125E-02        0.791667E-02        0.100400E-03        0.144113E-09        0.317975E-02        0.313550E-02        0.498875E+00        0.599583E+00       -0.596845E-01        0.327875E-05        0.636000E+00        0.100000E+01        0.143000E-02        0.595350E+01        0.492000E-03        0.144458E-02        0.642417E-02        0.661042E-07        0.572583E-04        0.185958E-06        0.000000E+00        0.240000E-06        0.193875E-06        0.651417E-07        0.365292E-01        0.112567E-03        0.000000E+00        0.157292E-03        0.911875E-04       -0.207913E-16        0.122000E+01        0.122000E+01        0.153208E-03        0.115413E-03        0.161000E+02        0.262000E+00       -0.762000E-02        0.546000E+01
  19990630        0.241250E-04        0.984125E-05        0.281833E-03        0.138958E-03        0.128000E-04        0.128000E-04        0.207333E+01        0.643042E-02        0.829500E-02        0.101817E-03        0.159650E-09        0.327958E-02        0.315000E-02        0.497583E+00        0.600000E+00       -0.761750E-01        0.309250E-05        0.636000E+00        0.100000E+01        0.139000E-02        0.577308E+01        0.513792E-03        0.149000E-02        0.667750E-02        0.684583E-07        0.603917E-04        0.189208E-06        0.000000E+00        0.246417E-06        0.197000E-06        0.673208E-07        0.376208E-01        0.112046E-03        0.000000E+00        0.157917E-03        0.909667E-04       -0.262987E-16        0.122000E+01        0.122000E+01        0.153033E-03        0.118962E-03        0.167000E+02        0.260000E+00       -0.780000E-02        0.546000E+01
  19990701        0.242500E-04        0.984000E-05        0.281000E-03        0.139333E-03        0.128000E-04        0.128000E-04        0.209833E+01        0.632625E-02        0.815625E-02        0.100208E-03        0.183125E-09        0.315383E-02        0.298858E-02        0.489458E+00        0.599667E+00       -0.834749E-01        0.268000E-05        0.636000E+00        0.100000E+01        0.131000E-02        0.470696E+01        0.513000E-03        0.148625E-02        0.668000E-02        0.682792E-07        0.618542E-04        0.184208E-06        0.308333E-07        0.242375E-06        0.191000E-06        0.669875E-07        0.384583E-01        0.110562E-03        0.195958E-04        0.155000E-03        0.880750E-04       -0.682083E-17        0.122000E+01        0.122000E+01        0.141483E-03        0.113929E-03        0.167000E+02        0.257000E+00       -0.810000E-02        0.546000E+01
  19990702        0.243500E-04        0.984000E-05        0.281000E-03        0.139792E-03        0.128000E-04        0.128000E-04        0.206167E+01        0.640625E-02        0.826083E-02        0.101450E-03        0.146733E-09        0.326650E-02        0.309983E-02        0.495667E+00        0.598917E+00       -0.813783E-01        0.223625E-05        0.636000E+00        0.100000E+01        0.143000E-02        0.502896E+01        0.513000E-03        0.148000E-02        0.668333E-02        0.681000E-07        0.589458E-04        0.191000E-06        0.000000E+00        0.247083E-06        0.199333E-06        0.667667E-07        0.363542E-01        0.114042E-03        0.000000E+00        0.158000E-03        0.915750E-04       -0.173083E-16        0.122000E+01        0.122000E+01        0.147496E-03        0.117458E-03        0.167000E+02        0.262000E+00       -0.762000E-02        0.546000E+01
  19990703        0.249458E-04        0.102000E-04        0.284000E-03        0.142000E-03        0.132000E-04        0.132000E-04        0.219167E+01        0.701083E-02        0.896917E-02        0.103054E-03        0.129921E-09        0.331913E-02        0.309033E-02        0.487708E+00        0.597833E+00       -0.938208E-01        0.183458E-05        0.636000E+00        0.100000E+01        0.154000E-02        0.457804E+01        0.558000E-03        0.157000E-02        0.720583E-02        0.731667E-07        0.609625E-04        0.211833E-06        0.000000E+00        0.270125E-06        0.221833E-06        0.715625E-07        0.361125E-01        0.121250E-03        0.000000E+00        0.165000E-03        0.979708E-04       -0.191237E-16        0.122000E+01        0.122000E+01        0.144721E-03        0.118767E-03        0.178000E+02        0.266000E+00       -0.725000E-02        0.546000E+01
  19990704        0.255417E-04        0.106000E-04        0.286542E-03        0.144000E-03        0.135000E-04        0.136000E-04        0.244292E+01        0.725417E-02        0.922583E-02        0.990375E-04        0.154596E-09        0.304150E-02        0.281433E-02        0.454125E+00        0.596625E+00       -0.101067E+00        0.140292E-05        0.636000E+00        0.100000E+01        0.148000E-02        0.408508E+01        0.607000E-03        0.166000E-02        0.776208E-02        0.785708E-07        0.667083E-04        0.224000E-06        0.000000E+00        0.287542E-06        0.234000E-06        0.766208E-07        0.376167E-01        0.122958E-03        0.000000E+00        0.167250E-03        0.994042E-04       -0.209067E-16        0.122000E+01        0.122000E+01        0.124929E-03        0.108279E-03        0.189000E+02        0.264000E+00       -0.743000E-02        0.546000E+01
  19990705        0.261083E-04        0.110000E-04        0.289000E-03        0.146000E-03        0.139000E-04        0.139000E-04        0.246792E+01        0.841083E-02        0.105925E-01        0.106167E-03        0.180875E-09        0.352908E-02        0.327800E-02        0.472500E+00        0.595458E+00       -0.988333E-01        0.104012E-05        0.636000E+00        0.100000E+01        0.139000E-02        0.596400E+01        0.659000E-03        0.176000E-02        0.836000E-02        0.843208E-07        0.742708E-04        0.233000E-06        0.000000E+00        0.303000E-06        0.242292E-06        0.823292E-07        0.401958E-01        0.118808E-03        0.000000E+00        0.168208E-03        0.991500E-04        0.386804E-16        0.122000E+01        0.122000E+01        0.151908E-03        0.124887E-03        0.200000E+02        0.260000E+00       -0.780000E-02        0.546000E+01
  19990706        0.260000E-04        0.108000E-04        0.287583E-03        0.145500E-03        0.137000E-04        0.138000E-04        0.231333E+01        0.822083E-02        0.104042E-01        0.108013E-03        0.164708E-09        0.376562E-02        0.351367E-02        0.487958E+00        0.594000E+00       -0.940708E-01        0.735958E-06        0.636000E+00        0.100000E+01        0.141000E-02        0.698179E+01        0.632000E-03        0.171000E-02        0.806375E-02        0.810500E-07        0.707167E-04        0.225542E-06        0.000000E+00        0.292542E-06        0.235000E-06        0.794958E-07        0.391792E-01        0.116183E-03        0.000000E+00        0.166250E-03        0.976625E-04       -0.647083E-17        0.122000E+01        0.122000E+01        0.165521E-03        0.132479E-03        0.194000E+02        0.261000E+00       -0.771000E-02        0.546000E+01
  19990707        0.259125E-04        0.106000E-04        0.286000E-03        0.145000E-03        0.136000E-04        0.136000E-04        0.239750E+01        0.721458E-02        0.916792E-02        0.983250E-04        0.195858E-09        0.313812E-02        0.297637E-02        0.451458E+00        0.593000E+00       -0.900833E-01        0.537542E-06        0.636000E+00        0.100000E+01        0.134000E-02        0.664079E+01        0.606000E-03        0.166000E-02        0.778000E-02        0.779417E-07        0.698667E-04        0.211875E-06        0.175833E-07        0.277500E-06        0.220000E-06        0.768208E-07        0.400917E-01        0.112800E-03        0.102000E-04        0.161542E-03        0.930125E-04       -0.278875E-16        0.122000E+01        0.122000E+01        0.131096E-03        0.109829E-03        0.189000E+02        0.258000E+00       -0.800000E-02        0.546000E+01
  19990708        0.260250E-04        0.106000E-04        0.285625E-03        0.145542E-03        0.136000E-04        0.136000E-04        0.212333E+01        0.818583E-02        0.103975E-01        0.111625E-03        0.213542E-09        0.415917E-02        0.402042E-02        0.512125E+00        0.592667E+00       -0.713204E-01        0.434000E-06        0.636000E+00        0.100000E+01        0.122000E-02        0.120185E+02        0.606000E-03        0.166000E-02        0.778875E-02        0.777292E-07        0.712417E-04        0.202792E-06        0.105000E-06        0.270417E-06        0.209125E-06        0.769542E-07        0.408083E-01        0.993208E-04        0.608250E-04        0.157333E-03        0.888000E-04        0.192500E-16        0.122000E+01        0.122000E+01        0.195292E-03        0.145108E-03        0.189000E+02        0.253000E+00       -0.850000E-02        0.546000E+01
  19990709        0.262042E-04        0.106000E-04        0.285000E-03        0.146333E-03        0.136000E-04        0.136000E-04        0.217667E+01        0.796792E-02        0.101179E-01        0.108583E-03        0.219458E-09        0.392625E-02        0.382571E-02        0.498292E+00        0.592417E+00       -0.686557E-01        0.354958E-06        0.636000E+00        0.100000E+01        0.122000E-02        0.112405E+02        0.606000E-03        0.165833E-02        0.779000E-02        0.775208E-07        0.710333E-04        0.202000E-06        0.105000E-06        0.269667E-06        0.208792E-06        0.768542E-07        0.409250E-01        0.100683E-03        0.606500E-04        0.157000E-03        0.890500E-04        0.117138E-16        0.122458E+01        0.122500E+01        0.181896E-03        0.136538E-03        0.189000E+02        0.253000E+00       -0.850000E-02        0.546000E+01
  19990710        0.258458E-04        0.102000E-04        0.282000E-03        0.145000E-03        0.132000E-04        0.133000E-04        0.217125E+01        0.676792E-02        0.865500E-02        0.994250E-04        0.206375E-09        0.323625E-02        0.307588E-02        0.470792E+00        0.592000E+00       -0.830503E-01        0.287083E-06        0.636000E+00        0.100000E+01        0.127000E-02        0.510462E+01        0.557833E-03        0.156000E-02        0.724000E-02        0.718000E-07        0.657833E-04        0.190083E-06        0.646958E-07        0.252000E-06        0.197000E-06        0.710333E-07        0.397667E-01        0.108496E-03        0.392500E-04        0.154000E-03        0.873583E-04        0.463163E-16        0.123000E+01        0.123000E+01        0.135400E-03        0.112217E-03        0.178000E+02        0.255000E+00       -0.829000E-02        0.546000E+01
  19990711        0.259875E-04        0.102000E-04        0.282000E-03        0.145375E-03        0.132000E-04        0.133000E-04        0.200417E+01        0.733500E-02        0.938875E-02        0.107850E-03        0.198875E-09        0.375875E-02        0.372825E-02        0.510250E+00        0.592250E+00       -0.528088E-01        0.237208E-06        0.636000E+00        0.100000E+01        0.125000E-02        0.823596E+01        0.557000E-03        0.156000E-02        0.724542E-02        0.716083E-07        0.655875E-04        0.188000E-06        0.806250E-07        0.250000E-06        0.194542E-06        0.708833E-07        0.389875E-01        0.102321E-03        0.489333E-04        0.152750E-03        0.864208E-04       -0.257879E-16        0.123000E+01        0.123000E+01        0.174875E-03        0.129962E-03        0.178000E+02        0.254000E+00       -0.840000E-02        0.546000E+01
  19990712        0.261458E-04        0.102000E-04        0.281417E-03        0.146000E-03        0.132000E-04        0.133000E-04        0.197417E+01        0.745750E-02        0.955333E-02        0.109492E-03        0.105600E-09        0.385500E-02        0.395592E-02        0.518750E+00        0.593458E+00       -0.326958E-01        0.268042E-06        0.636000E+00        0.100000E+01        0.161000E-02        0.106926E+02        0.557000E-03        0.156000E-02        0.725000E-02        0.714167E-07        0.576542E-04        0.211000E-06        0.000000E+00        0.266583E-06        0.221500E-06        0.709417E-07        0.342625E-01        0.111575E-03        0.000000E+00        0.162833E-03        0.985333E-04        0.207737E-16        0.123000E+01        0.123000E+01        0.188667E-03        0.133317E-03        0.178000E+02        0.269000E+00       -0.699000E-02        0.546000E+01
  19990713        0.265458E-04        0.104000E-04        0.283000E-03        0.147375E-03        0.134000E-04        0.135000E-04        0.205958E+01        0.776042E-02        0.989583E-02        0.109929E-03        0.686667E-10        0.397375E-02        0.388696E-02        0.512250E+00        0.594792E+00       -0.619132E-01        0.299458E-06        0.636000E+00        0.100000E+01        0.192000E-02        0.957471E+01        0.580500E-03        0.160000E-02        0.752208E-02        0.738750E-07        0.531458E-04        0.235750E-06        0.000000E+00        0.288750E-06        0.250000E-06        0.732250E-07        0.309417E-01        0.124700E-03        0.000000E+00        0.172000E-03        0.109000E-03       -0.290250E-17        0.123000E+01        0.123000E+01        0.183688E-03        0.137629E-03        0.183000E+02        0.280000E+00       -0.609000E-02        0.546000E+01
  19990714        0.269458E-04        0.106000E-04        0.284000E-03        0.148625E-03        0.136000E-04        0.136083E-04        0.213792E+01        0.807250E-02        0.102542E-01        0.110058E-03        0.112838E-09        0.403667E-02        0.380692E-02        0.504792E+00        0.594458E+00       -0.852888E-01        0.234375E-06        0.636000E+00        0.100000E+01        0.161000E-02        0.858929E+01        0.605000E-03        0.165000E-02        0.781208E-02        0.764667E-07        0.617167E-04        0.225708E-06        0.000000E+00        0.285250E-06        0.237000E-06        0.755750E-07        0.351292E-01        0.117596E-03        0.000000E+00        0.166000E-03        0.101417E-03       -0.335875E-16        0.123000E+01        0.123000E+01        0.177033E-03        0.139317E-03        0.189000E+02        0.269000E+00       -0.699000E-02        0.546000E+01
  19990715        0.273458E-04        0.107000E-04        0.285000E-03        0.150000E-03        0.138000E-04        0.138000E-04        0.218958E+01        0.846292E-02        0.107092E-01        0.111171E-03        0.153100E-09        0.412792E-02        0.387783E-02        0.502125E+00        0.593167E+00       -0.880542E-01        0.141792E-06        0.636000E+00        0.100000E+01        0.143000E-02        0.899429E+01        0.630000E-03        0.169500E-02        0.811000E-02        0.790875E-07        0.682333E-04        0.221208E-06        0.000000E+00        0.286042E-06        0.231000E-06        0.781125E-07        0.380417E-01        0.111367E-03        0.000000E+00        0.163000E-03        0.971083E-04       -0.239654E-16        0.123000E+01        0.123000E+01        0.179200E-03        0.141567E-03        0.194000E+02        0.262000E+00       -0.762000E-02        0.546000E+01
  19990716        0.277458E-04        0.109000E-04        0.286375E-03        0.151333E-03        0.140000E-04        0.140000E-04        0.228333E+01        0.871875E-02        0.109854E-01        0.110183E-03        0.743833E-10        0.399000E-02        0.373162E-02        0.490042E+00        0.591625E+00       -0.914167E-01        0.753833E-07        0.636000E+00        0.100000E+01        0.192000E-02        0.775888E+01        0.657000E-03        0.174000E-02        0.842000E-02        0.818292E-07        0.588333E-04        0.261000E-06        0.000000E+00        0.319625E-06        0.276792E-06        0.805875E-07        0.320625E-01        0.131337E-03        0.000000E+00        0.177583E-03        0.114083E-03        0.371537E-16        0.123000E+01        0.123000E+01        0.167854E-03        0.136083E-03        0.200000E+02        0.280000E+00       -0.609000E-02        0.546000E+01
  19990717        0.276167E-04        0.107000E-04        0.285000E-03        0.151000E-03        0.138000E-04        0.138958E-04        0.231292E+01        0.783750E-02        0.991167E-02        0.102975E-03        0.126958E-09        0.351292E-02        0.328654E-02        0.464917E+00        0.590458E+00       -0.927792E-01        0.355917E-07        0.636000E+00        0.100000E+01        0.159000E-02        0.591212E+01        0.630000E-03        0.169000E-02        0.812000E-02        0.786542E-07        0.640625E-04        0.230125E-06        0.000000E+00        0.292000E-06        0.241792E-06        0.773750E-07        0.355333E-01        0.121363E-03        0.000000E+00        0.166000E-03        0.101000E-03        0.104583E-18        0.123000E+01        0.123000E+01        0.139863E-03        0.119154E-03        0.194000E+02        0.268000E+00       -0.708000E-02        0.546000E+01
  19990718        0.277125E-04        0.107000E-04        0.284500E-03        0.151083E-03        0.138000E-04        0.139000E-04        0.212417E+01        0.852042E-02        0.107883E-01        0.111892E-03        0.149692E-09        0.422542E-02        0.412754E-02        0.505917E+00        0.589750E+00       -0.644258E-01        0.192167E-07        0.636000E+00        0.100000E+01        0.143000E-02        0.122135E+02        0.630000E-03        0.169000E-02        0.812125E-02        0.784375E-07        0.676333E-04        0.219292E-06        0.000000E+00        0.283625E-06        0.229000E-06        0.776542E-07        0.373167E-01        0.105192E-03        0.000000E+00        0.161083E-03        0.956500E-04       -0.992554E-17        0.123000E+01        0.123000E+01        0.189500E-03        0.142558E-03        0.194000E+02        0.262000E+00       -0.762000E-02        0.546000E+01
  19990719        0.278833E-04        0.107000E-04        0.284000E-03        0.151583E-03        0.138000E-04        0.139000E-04        0.213792E+01        0.845042E-02        0.106846E-01        0.110921E-03        0.157596E-09        0.414250E-02        0.393800E-02        0.500958E+00        0.589500E+00       -0.800108E-01        0.115754E-07        0.636000E+00        0.100000E+01        0.141000E-02        0.919471E+01        0.629417E-03        0.169000E-02        0.813000E-02        0.782208E-07        0.680583E-04        0.217000E-06        0.000000E+00        0.281542E-06        0.226083E-06        0.775125E-07        0.384083E-01        0.109129E-03        0.000000E+00        0.160000E-03        0.947792E-04        0.254277E-16        0.123000E+01        0.123000E+01        0.176792E-03        0.139358E-03        0.194000E+02        0.261000E+00       -0.771000E-02        0.546000E+01
  19990720        0.279833E-04        0.107000E-04        0.284000E-03        0.152000E-03        0.138833E-04        0.139000E-04        0.228917E+01        0.779208E-02        0.986667E-02        0.102363E-03        0.199417E-09        0.351417E-02        0.330833E-02        0.462292E+00        0.588417E+00       -0.889488E-01        0.379708E-08        0.636000E+00        0.100000E+01        0.131000E-02        0.641833E+01        0.629000E-03        0.169000E-02        0.813000E-02        0.780083E-07        0.703542E-04        0.209708E-06        0.350667E-07        0.275750E-06        0.217583E-06        0.770917E-07        0.393625E-01        0.109354E-03        0.198833E-04        0.157000E-03        0.913000E-04        0.220542E-16        0.123250E+01        0.123250E+01        0.137662E-03        0.117608E-03        0.194000E+02        0.257000E+00       -0.810000E-02        0.546000E+01
  19990721        0.280625E-04        0.107000E-04        0.284000E-03        0.152000E-03        0.139000E-04        0.139000E-04        0.226667E+01        0.782250E-02        0.991208E-02        0.102725E-03        0.215125E-09        0.354583E-02        0.344792E-02        0.464500E+00        0.587750E+00       -0.741142E-01        0.103167E-08        0.636000E+00        0.100000E+01        0.127000E-02        0.873296E+01        0.629000E-03        0.169000E-02        0.813833E-02        0.777958E-07        0.711083E-04        0.205750E-06        0.699250E-07        0.272375E-06        0.213000E-06        0.771000E-07        0.398458E-01        0.103675E-03        0.396292E-04        0.155000E-03        0.895583E-04        0.770833E-18        0.123500E+01        0.123542E+01        0.144967E-03        0.118150E-03        0.194000E+02        0.255000E+00       -0.829000E-02        0.546000E+01
  19990722        0.281792E-04        0.107000E-04        0.283792E-03        0.152292E-03        0.139000E-04        0.139000E-04        0.216625E+01        0.819667E-02        0.103621E-01        0.107571E-03        0.223625E-09        0.380250E-02        0.355583E-02        0.486125E+00        0.587417E+00       -0.882542E-01        0.293537E-09        0.636000E+00        0.100000E+01        0.122000E-02        0.555346E+01        0.629000E-03        0.169000E-02        0.814000E-02        0.775833E-07        0.708958E-04        0.201833E-06        0.104750E-06        0.269000E-06        0.208208E-06        0.766708E-07        0.401833E-01        0.106592E-03        0.592667E-04        0.153000E-03        0.879917E-04       -0.136208E-16        0.124000E+01        0.124000E+01        0.150238E-03        0.126171E-03        0.194000E+02        0.253000E+00       -0.850000E-02        0.546000E+01
  19990723        0.288042E-04        0.111000E-04        0.286000E-03        0.154250E-03        0.142417E-04        0.143000E-04        0.232083E+01        0.889250E-02        0.111600E-01        0.108187E-03        0.313250E-09        0.376125E-02        0.350667E-02        0.473667E+00        0.585750E+00       -0.913500E-01        0.107043E-11        0.636250E+00        0.100000E+01        0.107000E-02        0.497304E+01        0.683000E-03        0.178250E-02        0.876958E-02        0.832875E-07        0.760958E-04        0.204000E-06        0.243083E-06        0.279500E-06        0.208750E-06        0.812375E-07        0.414583E-01        0.103233E-03        0.131583E-03        0.151875E-03        0.852625E-04        0.117492E-16        0.124000E+01        0.124000E+01        0.144837E-03        0.124179E-03        0.206000E+02        0.246000E+00       -0.926000E-02        0.546000E+01
  19990724        0.288917E-04        0.111000E-04        0.286000E-03        0.154542E-03        0.143000E-04        0.143000E-04        0.234250E+01        0.872458E-02        0.109392E-01        0.106025E-03        0.373958E-09        0.375292E-02        0.350750E-02        0.464333E+00        0.584458E+00       -0.920583E-01        0.000000E+00        0.636625E+00        0.100000E+01        0.990000E-03        0.670262E+01        0.682708E-03        0.178000E-02        0.877000E-02        0.830792E-07        0.758708E-04        0.196000E-06        0.345083E-06        0.273333E-06        0.199542E-06        0.804125E-07        0.397083E-01        0.968500E-04        0.186750E-03        0.148125E-03        0.814167E-04       -0.160800E-16        0.124000E+01        0.124000E+01        0.143258E-03        0.123163E-03        0.206000E+02        0.242000E+00       -0.972000E-02        0.546000E+01
  19990725        0.292500E-04        0.113000E-04        0.287167E-03        0.155667E-03        0.144792E-04        0.145000E-04        0.230583E+01        0.953917E-02        0.119338E-01        0.111763E-03        0.431000E-09        0.429333E-02        0.402417E-02        0.481875E+00        0.582875E+00       -0.895333E-01        0.000000E+00        0.636333E+00        0.100000E+01        0.912000E-03        0.977650E+01        0.710542E-03        0.183000E-02        0.910000E-02        0.858958E-07        0.784167E-04        0.195042E-06        0.356667E-06        0.277000E-06        0.197375E-06        0.835708E-07        0.402292E-01        0.899042E-04        0.188625E-03        0.147000E-03        0.793042E-04       -0.409917E-17        0.124000E+01        0.124000E+01        0.171267E-03        0.139908E-03        0.211000E+02        0.238000E+00       -0.102000E-01        0.546000E+01
  19990726        0.293750E-04        0.113000E-04        0.287000E-03        0.156000E-03        0.145000E-04        0.145000E-04        0.229042E+01        0.950583E-02        0.118983E-01        0.111371E-03        0.626042E-09        0.412542E-02        0.385750E-02        0.480583E+00        0.581375E+00       -0.887083E-01        0.000000E+00        0.636250E+00        0.100000E+01        0.750000E-03        0.659263E+01        0.710000E-03        0.183000E-02        0.910125E-02        0.856708E-07        0.781875E-04        0.178000E-06        0.355625E-06        0.264000E-06        0.177000E-06        0.831417E-07        0.406167E-01        0.862042E-04        0.188000E-03        0.140000E-03        0.716042E-04        0.117417E-16        0.124000E+01        0.124000E+01        0.159950E-03        0.133675E-03        0.211000E+02        0.229000E+00       -0.114000E-01        0.546000E+01
  19990727        0.289833E-04        0.109000E-04        0.284000E-03        0.154458E-03        0.141000E-04        0.141000E-04        0.211042E+01        0.874917E-02        0.110275E-01        0.110475E-03        0.796292E-09        0.422333E-02        0.414417E-02        0.491917E+00        0.580417E+00       -0.613896E-01        0.127450E-11        0.636333E+00        0.100000E+01        0.636000E-03        0.110576E+02        0.654000E-03        0.173000E-02        0.847000E-02        0.794542E-07        0.724875E-04        0.153000E-06        0.329708E-06        0.235917E-06        0.150000E-06        0.780833E-07        0.378583E-01        0.723833E-04        0.182625E-03        0.131000E-03        0.634667E-04        0.267754E-16        0.124000E+01        0.124000E+01        0.176217E-03        0.136058E-03        0.200000E+02        0.222000E+00       -0.125000E-01        0.546000E+01
  19990728        0.293542E-04        0.111000E-04        0.285000E-03        0.155917E-03        0.143000E-04        0.143000E-04        0.226167E+01        0.878333E-02        0.110200E-01        0.106796E-03        0.105192E-08        0.389167E-02        0.363958E-02        0.467583E+00        0.580167E+00       -0.891750E-01        0.300875E-13        0.636208E+00        0.100000E+01        0.561000E-03        0.642804E+01        0.681000E-03        0.178000E-02        0.879000E-02        0.822042E-07        0.749833E-04        0.149292E-06        0.318000E-06        0.237250E-06        0.144667E-06        0.808250E-07        0.413583E-01        0.741708E-04        0.172000E-03        0.129000E-03        0.612625E-04        0.942083E-17        0.124000E+01        0.124000E+01        0.145575E-03        0.125038E-03        0.206000E+02        0.217000E+00       -0.133000E-01        0.546000E+01
  19990729        0.297292E-04        0.113000E-04        0.286542E-03        0.157000E-03        0.145000E-04        0.145000E-04        0.220500E+01        0.971208E-02        0.121454E-01        0.113804E-03        0.121346E-08        0.444750E-02        0.417667E-02        0.490458E+00        0.578583E+00       -0.855458E-01        0.000000E+00        0.636417E+00        0.100000E+01        0.504000E-03        0.876263E+01        0.709000E-03        0.183000E-02        0.911542E-02        0.849958E-07        0.775000E-04        0.147000E-06        0.309625E-06        0.240000E-06        0.141000E-06        0.828583E-07        0.399208E-01        0.687583E-04        0.163958E-03        0.127000E-03        0.594167E-04        0.407587E-16        0.124000E+01        0.124000E+01        0.173996E-03        0.141983E-03        0.211000E+02        0.213000E+00       -0.140000E-01        0.546000E+01
  19990730        0.298458E-04        0.113000E-04        0.286000E-03        0.157000E-03        0.145000E-04        0.145000E-04        0.220583E+01        0.960750E-02        0.120154E-01        0.112467E-03        0.183000E-08        0.431125E-02        0.404375E-02        0.484958E+00        0.577042E+00       -0.855333E-01        0.000000E+00        0.636417E+00        0.100000E+01        0.387000E-03        0.734638E+01        0.709000E-03        0.183000E-02        0.912000E-02        0.847708E-07        0.772750E-04        0.130000E-06        0.266000E-06        0.227000E-06        0.121000E-06        0.825292E-07        0.398750E-01        0.622167E-04        0.140833E-03        0.120167E-03        0.518333E-04        0.280925E-16        0.124000E+01        0.124000E+01        0.164742E-03        0.136783E-03        0.211000E+02        0.204000E+00       -0.158000E-01        0.546000E+01
