 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20080319        0.000000E+00       -0.278000E+01        0.178000E+00       -0.231310E-01        0.567700E+01
  20080320        0.000000E+00       -0.333000E+01        0.179000E+00       -0.227680E-01        0.567700E+01
  20080321        0.000000E+00       -0.389000E+01        0.171000E+00       -0.259300E-01        0.567700E+01
  20080322        0.000000E+00       -0.333000E+01        0.192000E+00       -0.187060E-01        0.567700E+01
  20080323        0.000000E+00       -0.389000E+01        0.187000E+00       -0.201360E-01        0.567700E+01
  20080324        0.000000E+00       -0.444000E+01        0.183000E+00       -0.213940E-01        0.567700E+01
  20080325        0.000000E+00       -0.556000E+01        0.175000E+00       -0.242740E-01        0.567700E+01
  20080326        0.000000E+00       -0.667000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080327        0.000000E+00       -0.667000E+01        0.161000E+00       -0.308840E-01        0.567700E+01
  20080328        0.000000E+00       -0.611000E+01        0.175000E+00       -0.242740E-01        0.567700E+01
  20080329        0.000000E+00       -0.611000E+01        0.175000E+00       -0.242740E-01        0.567700E+01
  20080330        0.000000E+00       -0.556000E+01        0.172000E+00       -0.255000E-01        0.567700E+01
  20080331        0.000000E+00       -0.556000E+01        0.171000E+00       -0.259300E-01        0.567700E+01
  20080401        0.000000E+00       -0.611000E+01        0.172000E+00       -0.255000E-01        0.567700E+01
  20080402        0.000000E+00       -0.500000E+01        0.171000E+00       -0.259300E-01        0.567700E+01
  20080403        0.000000E+00       -0.389000E+01        0.171000E+00       -0.259300E-01        0.567700E+01
  20080404        0.000000E+00       -0.222000E+01        0.170000E+00       -0.263700E-01        0.567700E+01
  20080405        0.000000E+00       -0.167000E+01        0.170000E+00       -0.263700E-01        0.567700E+01
  20080406        0.000000E+00       -0.167000E+01        0.170000E+00       -0.263700E-01        0.567700E+01
  20080407        0.000000E+00       -0.278000E+01        0.169000E+00       -0.268210E-01        0.567700E+01
  20080408        0.000000E+00       -0.222000E+01        0.168000E+00       -0.272840E-01        0.567700E+01
  20080409        0.000000E+00       -0.167000E+01        0.169000E+00       -0.268210E-01        0.567700E+01
  20080410        0.000000E+00       -0.222000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080411        0.000000E+00       -0.167000E+01        0.168000E+00       -0.272840E-01        0.567700E+01
  20080412        0.000000E+00       -0.111000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080413        0.000000E+00       -0.111000E+01        0.164000E+00       -0.292590E-01        0.567700E+01
  20080414        0.000000E+00       -0.111000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080415        0.000000E+00       -0.560000E+00        0.166000E+00       -0.282450E-01        0.567700E+01
  20080416        0.000000E+00       -0.560000E+00        0.159000E+00       -0.320450E-01        0.567700E+01
  20080417        0.000000E+00       -0.560000E+00        0.165000E+00       -0.287450E-01        0.567700E+01
  20080418        0.000000E+00       -0.111000E+01        0.168000E+00       -0.272840E-01        0.567700E+01
  20080419        0.000000E+00       -0.111000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080420        0.000000E+00       -0.560000E+00        0.167000E+00       -0.277580E-01        0.567700E+01
  20080421        0.500000E-05       -0.111000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20080422        0.130000E-04       -0.278000E+01        0.164000E+00       -0.292590E-01        0.567700E+01
  20080423        0.220000E-04       -0.389000E+01        0.169000E+00       -0.268210E-01        0.567700E+01
  20080424        0.310000E-04       -0.500000E+01        0.168000E+00       -0.272840E-01        0.567700E+01
  20080425        0.390000E-04       -0.500000E+01        0.165000E+00       -0.287450E-01        0.567700E+01
  20080426        0.480000E-04       -0.611000E+01        0.168000E+00       -0.272840E-01        0.567700E+01
  20080427        0.560000E-04       -0.667000E+01        0.158000E+00       -0.326500E-01        0.567700E+01
  20080428        0.650000E-04       -0.778000E+01        0.910000E-01       -0.297831E+00        0.567700E+01
  20080429        0.740000E-04       -0.667000E+01        0.840000E-01       -0.524423E+00        0.567700E+01
  20080430        0.820000E-04       -0.500000E+01        0.810000E-01       -0.721052E+00        0.567700E+01
  20080501        0.910000E-04       -0.556000E+01        0.890000E-01       -0.343547E+00        0.567700E+01
  20080502        0.990000E-04       -0.556000E+01        0.880000E-01       -0.370798E+00        0.567700E+01
  20080503        0.107000E-03       -0.556000E+01        0.880000E-01       -0.370798E+00        0.567700E+01
  20080504        0.116000E-03       -0.444000E+01        0.840000E-01       -0.524423E+00        0.567700E+01
  20080505        0.124000E-03       -0.556000E+01        0.910000E-01       -0.297831E+00        0.567700E+01
  20080506        0.133000E-03       -0.500000E+01        0.860000E-01       -0.436966E+00        0.567700E+01
  20080507        0.141000E-03       -0.333000E+01        0.930000E-01       -0.261158E+00        0.567700E+01
  20080508        0.149000E-03       -0.167000E+01        0.920000E-01       -0.278527E+00        0.567700E+01
  20080509        0.157000E-03       -0.222000E+01        0.960000E-01       -0.218283E+00        0.567700E+01
  20080510        0.166000E-03       -0.222000E+01        0.930000E-01       -0.261158E+00        0.567700E+01
  20080511        0.174000E-03       -0.167000E+01        0.870000E-01       -0.401701E+00        0.567700E+01
  20080512        0.182000E-03       -0.111000E+01        0.810000E-01       -0.721052E+00        0.567700E+01
  20080513        0.190000E-03       -0.560000E+00        0.900000E-01       -0.319378E+00        0.567700E+01
  20080514        0.198000E-03       -0.560000E+00        0.156000E+00       -0.339140E-01        0.567700E+01
  20080515        0.206000E-03       -0.111000E+01        0.201000E+00       -0.164670E-01        0.567700E+01
  20080516        0.214000E-03       -0.222000E+01        0.199000E+00       -0.169310E-01        0.567700E+01
  20080517        0.221000E-03       -0.333000E+01        0.147000E+00       -0.406420E-01        0.567700E+01
  20080518        0.229000E-03       -0.333000E+01        0.101000E+00       -0.168068E+00        0.567700E+01
  20080519        0.237000E-03       -0.333000E+01        0.990000E-01       -0.185682E+00        0.567700E+01
  20080520        0.244000E-03       -0.389000E+01        0.103000E+00       -0.152986E+00        0.567700E+01
  20080521        0.252000E-03       -0.278000E+01        0.910000E-01       -0.297831E+00        0.567700E+01
  20080522        0.259000E-03       -0.167000E+01        0.860000E-01       -0.436966E+00        0.567700E+01
  20080523        0.267000E-03       -0.560000E+00        0.750000E-01       -0.180489E+01        0.567700E+01
  20080524        0.274000E-03       -0.560000E+00        0.730000E-01       -0.289254E+01        0.567700E+01
  20080525        0.281000E-03        0.000000E+00        0.740000E-01       -0.224660E+01        0.567700E+01
  20080526        0.288000E-03        0.000000E+00        0.760000E-01       -0.148795E+01        0.567700E+01
  20080527        0.295000E-03        0.000000E+00        0.800000E-01       -0.814221E+00        0.567700E+01
  20080528        0.302000E-03        0.000000E+00        0.780000E-01       -0.107078E+01        0.567700E+01
  20080529        0.309000E-03        0.000000E+00        0.770000E-01       -0.125190E+01        0.567700E+01
  20080530        0.316000E-03       -0.560000E+00        0.830000E-01       -0.579247E+00        0.567700E+01
  20080531        0.323000E-03       -0.560000E+00        0.770000E-01       -0.125190E+01        0.567700E+01
  20080601        0.329000E-03        0.000000E+00        0.770000E-01       -0.125190E+01        0.567700E+01
  20080602        0.336000E-03        0.000000E+00        0.770000E-01       -0.125190E+01        0.567700E+01
  20080603        0.342000E-03        0.000000E+00        0.790000E-01       -0.928415E+00        0.567700E+01
  20080604        0.348000E-03        0.000000E+00        0.760000E-01       -0.148795E+01        0.567700E+01
  20080605        0.354000E-03        0.000000E+00        0.700000E-01       -0.901111E+01        0.567700E+01
  20080606        0.361000E-03        0.000000E+00        0.690000E-01       -0.175167E+02        0.567700E+01
  20080607        0.367000E-03        0.000000E+00        0.710000E-01       -0.562288E+01        0.567700E+01
  20080608        0.372000E-03        0.111000E+01        0.680000E-01       -0.545689E+02        0.567700E+01
  20080609        0.378000E-03        0.222000E+01        0.690000E-01       -0.175167E+02        0.567700E+01
  20080610        0.384000E-03        0.333000E+01        0.680000E-01       -0.545689E+02        0.567700E+01
  20080611        0.389000E-03        0.500000E+01        0.660000E-01       -0.105213E+03        0.567700E+01
  20080612        0.395000E-03        0.611000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080613        0.400000E-03        0.556000E+01        0.700000E-01       -0.901111E+01        0.567700E+01
  20080614        0.405000E-03        0.333000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080615        0.410000E-03        0.278000E+01        0.680000E-01       -0.545689E+02        0.567700E+01
  20080616        0.415000E-03        0.222000E+01        0.700000E-01       -0.901111E+01        0.567700E+01
  20080617        0.420000E-03        0.222000E+01        0.690000E-01       -0.175167E+02        0.567700E+01
  20080618        0.425000E-03        0.333000E+01        0.660000E-01       -0.105213E+03        0.567700E+01
  20080619        0.430000E-03        0.444000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080620        0.434000E-03        0.222000E+01        0.700000E-01       -0.901111E+01        0.567700E+01
  20080621        0.438000E-03        0.167000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080622        0.443000E-03        0.222000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080623        0.447000E-03        0.278000E+01        0.700000E-01       -0.901111E+01        0.567700E+01
  20080624        0.451000E-03        0.333000E+01        0.720000E-01       -0.390021E+01        0.567700E+01
  20080625        0.454000E-03        0.389000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080626        0.458000E-03        0.389000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080627        0.462000E-03        0.333000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080628        0.465000E-03        0.389000E+01        0.690000E-01       -0.175167E+02        0.567700E+01
  20080629        0.468000E-03        0.556000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080630        0.471000E-03        0.556000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20080701        0.474000E-03        0.444000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080702        0.477000E-03        0.389000E+01        0.710000E-01       -0.562288E+01        0.567700E+01
  20080703        0.480000E-03        0.444000E+01        0.750000E-01       -0.180489E+01        0.567700E+01
  20080704        0.483000E-03        0.389000E+01        0.750000E-01       -0.180489E+01        0.567700E+01
  20080705        0.485000E-03        0.389000E+01        0.750000E-01       -0.180489E+01        0.567700E+01
  20080706        0.487000E-03        0.556000E+01        0.760000E-01       -0.148795E+01        0.567700E+01
  20080707        0.490000E-03        0.611000E+01        0.750000E-01       -0.180489E+01        0.567700E+01
  20080708        0.492000E-03        0.722000E+01        0.800000E-01       -0.814221E+00        0.567700E+01
  20080709        0.493000E-03        0.667000E+01        0.840000E-01       -0.524423E+00        0.567700E+01
  20080710        0.495000E-03        0.833000E+01        0.830000E-01       -0.579247E+00        0.567700E+01
  20080711        0.497000E-03        0.778000E+01        0.850000E-01       -0.477491E+00        0.567700E+01
  20080712        0.498000E-03        0.722000E+01        0.860000E-01       -0.436966E+00        0.567700E+01
  20080713        0.499000E-03        0.722000E+01        0.870000E-01       -0.401701E+00        0.567700E+01
  20080714        0.501000E-03        0.722000E+01        0.890000E-01       -0.343547E+00        0.567700E+01
  20080715        0.502000E-03        0.778000E+01        0.850000E-01       -0.477491E+00        0.567700E+01
  20080716        0.502000E-03        0.889000E+01        0.102000E+00       -0.160243E+00        0.567700E+01
  20080717        0.503000E-03        0.100000E+02        0.114000E+00       -0.985880E-01        0.567700E+01
  20080718        0.504000E-03        0.889000E+01        0.126000E+00       -0.676540E-01        0.567700E+01
  20080719        0.504000E-03        0.778000E+01        0.135000E+00       -0.534020E-01        0.567700E+01
  20080720        0.504000E-03        0.889000E+01        0.133000E+00       -0.561320E-01        0.567700E+01
  20080721        0.505000E-03        0.944000E+01        0.137000E+00       -0.508740E-01        0.567700E+01
  20080722        0.504000E-03        0.105600E+02        0.133000E+00       -0.561320E-01        0.567700E+01
  20080723        0.504000E-03        0.116700E+02        0.132000E+00       -0.575810E-01        0.567700E+01
  20080724        0.504000E-03        0.127800E+02        0.106000E+00       -0.134102E+00        0.567700E+01
  20080725        0.503000E-03        0.133300E+02        0.990000E-01       -0.185682E+00        0.567700E+01
  20080726        0.503000E-03        0.133300E+02        0.109000E+00       -0.118689E+00        0.567700E+01
  20080727        0.502000E-03        0.138900E+02        0.800000E-01       -0.814221E+00        0.567700E+01
  20080728        0.501000E-03        0.133300E+02        0.820000E-01       -0.643918E+00        0.567700E+01
  20080729        0.500000E-03        0.122200E+02        0.870000E-01       -0.401701E+00        0.567700E+01
  20080730        0.499000E-03        0.122200E+02        0.890000E-01       -0.343547E+00        0.567700E+01
  20080731        0.498000E-03        0.127800E+02        0.870000E-01       -0.401701E+00        0.567700E+01
  20080801        0.496000E-03        0.133300E+02        0.840000E-01       -0.524423E+00        0.567700E+01
  20080802        0.494000E-03        0.133300E+02        0.910000E-01       -0.297831E+00        0.567700E+01
  20080803        0.493000E-03        0.133300E+02        0.960000E-01       -0.218283E+00        0.567700E+01
  20080804        0.491000E-03        0.138900E+02        0.960000E-01       -0.218283E+00        0.567700E+01
  20080805        0.489000E-03        0.144400E+02        0.102000E+00       -0.160243E+00        0.567700E+01
  20080806        0.486000E-03        0.150000E+02        0.950000E-01       -0.231234E+00        0.567700E+01
  20080807        0.484000E-03        0.155600E+02        0.960000E-01       -0.218283E+00        0.567700E+01
  20080808        0.481000E-03        0.144400E+02        0.960000E-01       -0.218283E+00        0.567700E+01
  20080809        0.479000E-03        0.144400E+02        0.107000E+00       -0.128625E+00        0.567700E+01
  20080810        0.476000E-03        0.150000E+02        0.106000E+00       -0.134102E+00        0.567700E+01
  20080811        0.473000E-03        0.155600E+02        0.116000E+00       -0.920290E-01        0.567700E+01
  20080812        0.470000E-03        0.155600E+02        0.326000E+00       -0.308300E-02        0.567700E+01
  20080813        0.467000E-03        0.161100E+02        0.308000E+00       -0.415600E-02        0.567700E+01
  20080814        0.464000E-03        0.166700E+02        0.297000E+00       -0.486700E-02        0.567700E+01
  20080815        0.460000E-03        0.161100E+02        0.290000E+00       -0.535000E-02        0.567700E+01
  20080816        0.456000E-03        0.166700E+02        0.287000E+00       -0.556500E-02        0.567700E+01
  20080817        0.453000E-03        0.172200E+02        0.279000E+00       -0.616800E-02        0.567700E+01
  20080818        0.449000E-03        0.172200E+02        0.273000E+00       -0.665000E-02        0.567700E+01
  20080819        0.445000E-03        0.188900E+02        0.270000E+00       -0.690300E-02        0.567700E+01
  20080820        0.441000E-03        0.188900E+02        0.269000E+00       -0.698900E-02        0.567700E+01
  20080821        0.436000E-03        0.188900E+02        0.264000E+00       -0.743200E-02        0.567700E+01
  20080822        0.432000E-03        0.194400E+02        0.262000E+00       -0.761600E-02        0.567700E+01
  20080823        0.428000E-03        0.200000E+02        0.258000E+00       -0.799700E-02        0.567700E+01
  20080824        0.423000E-03        0.205600E+02        0.256000E+00       -0.819400E-02        0.567700E+01
  20080825        0.418000E-03        0.211100E+02        0.251000E+00       -0.870900E-02        0.567700E+01
  20080826        0.413000E-03        0.205600E+02        0.249000E+00       -0.892300E-02        0.567700E+01
  20080827        0.408000E-03        0.200000E+02        0.249000E+00       -0.892300E-02        0.567700E+01
  20080828        0.403000E-03        0.194400E+02        0.247000E+00       -0.914300E-02        0.567700E+01
  20080829        0.398000E-03        0.188900E+02        0.243000E+00       -0.960100E-02        0.567700E+01
  20080830        0.392000E-03        0.188900E+02        0.245000E+00       -0.936900E-02        0.567700E+01
  20080831        0.387000E-03        0.200000E+02        0.240000E+00       -0.996000E-02        0.567700E+01
  20080901        0.381000E-03        0.200000E+02        0.241000E+00       -0.983900E-02        0.567700E+01
  20080902        0.376000E-03        0.194400E+02        0.240000E+00       -0.996000E-02        0.567700E+01
  20080903        0.370000E-03        0.200000E+02        0.250000E+00       -0.881500E-02        0.567700E+01
  20080904        0.364000E-03        0.194400E+02        0.247000E+00       -0.914300E-02        0.567700E+01
  20080905        0.358000E-03        0.183300E+02        0.255000E+00       -0.829500E-02        0.567700E+01
  20080906        0.352000E-03        0.188900E+02        0.252000E+00       -0.860300E-02        0.567700E+01
  20080907        0.346000E-03        0.194400E+02        0.247000E+00       -0.914300E-02        0.567700E+01
  20080908        0.339000E-03        0.205600E+02        0.245000E+00       -0.936900E-02        0.567700E+01
  20080909        0.333000E-03        0.211100E+02        0.242000E+00       -0.971900E-02        0.567700E+01
  20080910        0.326000E-03        0.216700E+02        0.245000E+00       -0.936900E-02        0.567700E+01
  20080911        0.320000E-03        0.216700E+02        0.240000E+00       -0.996000E-02        0.567700E+01
  20080912        0.313000E-03        0.211100E+02        0.238000E+00       -0.102080E-01        0.567700E+01
  20080913        0.306000E-03        0.216700E+02        0.239000E+00       -0.100830E-01        0.567700E+01
  20080914        0.299000E-03        0.216700E+02        0.234000E+00       -0.107250E-01        0.567700E+01
  20080915        0.292000E-03        0.216700E+02        0.234000E+00       -0.107250E-01        0.567700E+01
  20080916        0.285000E-03        0.205600E+02        0.231000E+00       -0.111320E-01        0.567700E+01
  20080917        0.278000E-03        0.188900E+02        0.230000E+00       -0.112720E-01        0.567700E+01
  20080918        0.271000E-03        0.188900E+02        0.226000E+00       -0.118520E-01        0.567700E+01
  20080919        0.263000E-03        0.194400E+02        0.226000E+00       -0.118520E-01        0.567700E+01
  20080920        0.256000E-03        0.200000E+02        0.221000E+00       -0.126290E-01        0.567700E+01
  20080921        0.248000E-03        0.205600E+02        0.226000E+00       -0.118520E-01        0.567700E+01
  20080922        0.241000E-03        0.205600E+02        0.215000E+00       -0.136460E-01        0.567700E+01
  20080923        0.233000E-03        0.200000E+02        0.220000E+00       -0.127920E-01        0.567700E+01
  20080924        0.226000E-03        0.200000E+02        0.229000E+00       -0.114140E-01        0.567700E+01
  20080925        0.218000E-03        0.200000E+02        0.222000E+00       -0.124690E-01        0.567700E+01
  20080926        0.210000E-03        0.200000E+02        0.217000E+00       -0.132960E-01        0.567700E+01
  20080927        0.202000E-03        0.188900E+02        0.216000E+00       -0.134700E-01        0.567700E+01
  20080928        0.194000E-03        0.188900E+02        0.217000E+00       -0.132960E-01        0.567700E+01
  20080929        0.186000E-03        0.188900E+02        0.212000E+00       -0.141940E-01        0.567700E+01
  20080930        0.178000E-03        0.188900E+02        0.211000E+00       -0.143830E-01        0.567700E+01
  20081001        0.170000E-03        0.183300E+02        0.295000E+00       -0.500200E-02        0.567700E+01
  20081002        0.162000E-03        0.183300E+02        0.257000E+00       -0.809500E-02        0.567700E+01
  20081003        0.154000E-03        0.194400E+02        0.245000E+00       -0.936900E-02        0.567700E+01
  20081004        0.146000E-03        0.200000E+02        0.237000E+00       -0.103350E-01        0.567700E+01
  20081005        0.137000E-03        0.194400E+02        0.233000E+00       -0.108590E-01        0.567700E+01
  20081006        0.129000E-03        0.188900E+02        0.233000E+00       -0.108590E-01        0.567700E+01
  20081007        0.121000E-03        0.188900E+02        0.240000E+00       -0.996000E-02        0.567700E+01
  20081008        0.112000E-03        0.177800E+02        0.265000E+00       -0.734100E-02        0.567700E+01
  20081009        0.104000E-03        0.177800E+02        0.250000E+00       -0.881500E-02        0.567700E+01
  20081010        0.950000E-04        0.177800E+02        0.243000E+00       -0.960100E-02        0.567700E+01
  20081011        0.870000E-04        0.172200E+02        0.287000E+00       -0.556500E-02        0.567700E+01
  20081012        0.780000E-04        0.166700E+02        0.253000E+00       -0.849900E-02        0.567700E+01
  20081013        0.700000E-04        0.155600E+02        0.246000E+00       -0.925600E-02        0.567700E+01
  20081014        0.610000E-04        0.155600E+02        0.253000E+00       -0.849900E-02        0.567700E+01
  20081015        0.530000E-04        0.166700E+02        0.255000E+00       -0.829500E-02        0.567700E+01
  20081016        0.440000E-04        0.166700E+02        0.246000E+00       -0.925600E-02        0.567700E+01
  20081017        0.350000E-04        0.172200E+02        0.245000E+00       -0.936900E-02        0.567700E+01
  20081018        0.270000E-04        0.177800E+02        0.240000E+00       -0.996000E-02        0.567700E+01
  20081019        0.180000E-04        0.177800E+02        0.234000E+00       -0.107250E-01        0.567700E+01
  20081020        0.100000E-04        0.177800E+02        0.225000E+00       -0.120030E-01        0.567700E+01
  20081021        0.100000E-05        0.183300E+02        0.237000E+00       -0.103350E-01        0.567700E+01
  20081022        0.000000E+00        0.183300E+02        0.230000E+00       -0.112720E-01        0.567700E+01
  20081023        0.000000E+00        0.183300E+02        0.222000E+00       -0.124690E-01        0.567700E+01
  20081024        0.000000E+00        0.177800E+02        0.261000E+00       -0.771000E-02        0.567700E+01
  20081025        0.000000E+00        0.183300E+02        0.263000E+00       -0.752300E-02        0.567700E+01
  20081026        0.000000E+00        0.188900E+02        0.250000E+00       -0.881500E-02        0.567700E+01
  20081027        0.000000E+00        0.188900E+02        0.284000E+00       -0.578600E-02        0.567700E+01
  20081028        0.000000E+00        0.188900E+02        0.252000E+00       -0.860300E-02        0.567700E+01
  20081029        0.000000E+00        0.177800E+02        0.243000E+00       -0.960100E-02        0.567700E+01
  20081030        0.000000E+00        0.177800E+02        0.232000E+00       -0.109950E-01        0.567700E+01
  20081031        0.000000E+00        0.183300E+02        0.227000E+00       -0.117040E-01        0.567700E+01
  20081101        0.000000E+00        0.188900E+02        0.239000E+00       -0.100830E-01        0.567700E+01
  20081102        0.000000E+00        0.194400E+02        0.232000E+00       -0.109950E-01        0.567700E+01
  20081103        0.000000E+00        0.200000E+02        0.227000E+00       -0.117040E-01        0.567700E+01
  20081104        0.000000E+00        0.194400E+02        0.217000E+00       -0.132960E-01        0.567700E+01
  20081105        0.000000E+00        0.183300E+02        0.211000E+00       -0.143830E-01        0.567700E+01
  20081106        0.000000E+00        0.183300E+02        0.202000E+00       -0.162410E-01        0.567700E+01
  20081107        0.000000E+00        0.177800E+02        0.189000E+00       -0.195460E-01        0.567700E+01
  20081108        0.000000E+00        0.172200E+02        0.217000E+00       -0.132960E-01        0.567700E+01
  20081109        0.000000E+00        0.166700E+02        0.200000E+00       -0.166970E-01        0.567700E+01
  20081110        0.000000E+00        0.161100E+02        0.189000E+00       -0.195460E-01        0.567700E+01
  20081111        0.000000E+00        0.161100E+02        0.180000E+00       -0.224130E-01        0.567700E+01
  20081112        0.000000E+00        0.166700E+02        0.184000E+00       -0.210690E-01        0.567700E+01
  20081113        0.000000E+00        0.166700E+02        0.173000E+00       -0.250820E-01        0.567700E+01
  20081114        0.000000E+00        0.166700E+02        0.155000E+00       -0.345740E-01        0.567700E+01
  20081115        0.000000E+00        0.155600E+02        0.129000E+00       -0.622980E-01        0.567700E+01
  20081116        0.000000E+00        0.150000E+02        0.107000E+00       -0.128625E+00        0.567700E+01
  20081117        0.000000E+00        0.138900E+02        0.970000E-01       -0.206458E+00        0.567700E+01
  20081118        0.000000E+00        0.133300E+02        0.970000E-01       -0.206458E+00        0.567700E+01
  20081119        0.000000E+00        0.122200E+02        0.870000E-01       -0.401701E+00        0.567700E+01
  20081120        0.000000E+00        0.122200E+02        0.860000E-01       -0.436966E+00        0.567700E+01
  20081121        0.000000E+00        0.122200E+02        0.123000E+00       -0.737760E-01        0.567700E+01
  20081122        0.000000E+00        0.116700E+02        0.149000E+00       -0.389800E-01        0.567700E+01
  20081123        0.000000E+00        0.116700E+02        0.128000E+00       -0.640060E-01        0.567700E+01
  20081124        0.000000E+00        0.111100E+02        0.105000E+00       -0.139962E+00        0.567700E+01
  20081125        0.000000E+00        0.122200E+02        0.950000E-01       -0.231234E+00        0.567700E+01
  20081126        0.000000E+00        0.122200E+02        0.204000E+00       -0.158020E-01        0.567700E+01
  20081127        0.000000E+00        0.111100E+02        0.184000E+00       -0.210690E-01        0.567700E+01
  20081128        0.000000E+00        0.105600E+02        0.169000E+00       -0.268210E-01        0.567700E+01
  20081129        0.000000E+00        0.105600E+02        0.145000E+00       -0.424170E-01        0.567700E+01
  20081130        0.000000E+00        0.100000E+02        0.203000E+00       -0.160190E-01        0.567700E+01
  20081201        0.000000E+00        0.944000E+01        0.178000E+00       -0.231310E-01        0.567700E+01
  20081202        0.000000E+00        0.889000E+01        0.159000E+00       -0.320450E-01        0.567700E+01
  20081203        0.000000E+00        0.944000E+01        0.140000E+00       -0.474180E-01        0.567700E+01
  20081204        0.000000E+00        0.889000E+01        0.131000E+00       -0.590890E-01        0.567700E+01
  20081205        0.000000E+00        0.944000E+01        0.167000E+00       -0.277580E-01        0.567700E+01
  20081206        0.000000E+00        0.105600E+02        0.157000E+00       -0.332730E-01        0.567700E+01
  20081207        0.000000E+00        0.105600E+02        0.135000E+00       -0.534020E-01        0.567700E+01
  20081208        0.000000E+00        0.833000E+01        0.111000E+00       -0.109926E+00        0.567700E+01
  20081209        0.000000E+00        0.778000E+01        0.970000E-01       -0.206458E+00        0.567700E+01
  20081210        0.000000E+00        0.778000E+01        0.880000E-01       -0.370798E+00        0.567700E+01
  20081211        0.000000E+00        0.667000E+01        0.800000E-01       -0.814221E+00        0.567700E+01
  20081212        0.000000E+00        0.667000E+01        0.760000E-01       -0.148795E+01        0.567700E+01
  20081213        0.000000E+00        0.667000E+01        0.211000E+00       -0.143830E-01        0.567700E+01
  20081214        0.000000E+00        0.611000E+01        0.180000E+00       -0.224130E-01        0.567700E+01
  20081215        0.000000E+00        0.556000E+01        0.193000E+00       -0.184370E-01        0.567700E+01
  20081216        0.000000E+00        0.500000E+01        0.176000E+00       -0.238840E-01        0.567700E+01
  20081217        0.000000E+00        0.500000E+01        0.161000E+00       -0.308840E-01        0.567700E+01
  20081218        0.000000E+00        0.444000E+01        0.183000E+00       -0.213940E-01        0.567700E+01
  20081219        0.000000E+00        0.444000E+01        0.175000E+00       -0.242740E-01        0.567700E+01
  20081220        0.000000E+00        0.444000E+01        0.164000E+00       -0.292590E-01        0.567700E+01
  20081221        0.000000E+00        0.444000E+01        0.146000E+00       -0.415150E-01        0.567700E+01
  20081222        0.000000E+00        0.444000E+01        0.130000E+00       -0.606600E-01        0.567700E+01
  20081223        0.000000E+00        0.500000E+01        0.127000E+00       -0.657900E-01        0.567700E+01
  20081224        0.000000E+00        0.500000E+01        0.121000E+00       -0.783600E-01        0.567700E+01
  20081225        0.000000E+00        0.389000E+01        0.117000E+00       -0.890060E-01        0.567700E+01
  20081226        0.000000E+00        0.333000E+01        0.112000E+00       -0.105925E+00        0.567700E+01
  20081227        0.000000E+00        0.278000E+01        0.101000E+00       -0.168068E+00        0.567700E+01
  20081228        0.000000E+00        0.222000E+01        0.890000E-01       -0.343547E+00        0.567700E+01
  20081229        0.000000E+00        0.222000E+01        0.850000E-01       -0.477491E+00        0.567700E+01
  20081230        0.000000E+00        0.222000E+01        0.830000E-01       -0.579247E+00        0.567700E+01
  20081231        0.000000E+00        0.222000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20090101        0.000000E+00        0.278000E+01        0.760000E-01       -0.148795E+01        0.567700E+01
  20090102        0.000000E+00        0.278000E+01        0.760000E-01       -0.148795E+01        0.567700E+01
  20090103        0.000000E+00        0.333000E+01        0.730000E-01       -0.289254E+01        0.567700E+01
  20090104        0.000000E+00        0.333000E+01        0.680000E-01       -0.545689E+02        0.567700E+01
  20090105        0.000000E+00        0.389000E+01        0.680000E-01       -0.545689E+02        0.567700E+01
